Before,After
4.27,5.925
3.773,4.825
7.011,5.38
3.738,4.632
4.818,7.121
5.644,5.196
5.298,4.408
5.843,5.216
3.63,5.657
5.94,5.98
3.387,4.45
7.111,5.673
4.818,7.101
4.597,4.968
5.013,5.148
3.656,4.468
7.2,5.362
6.507,5.655
5.942,3.235
6.755,5.013
5.472,3.962
3.34,5.564
4.817,4.266
3.789,5.781
4.128,4.825
5.184,5.365
4.422,4.203
3.504,4.7
3.968,5.843
5.973,5.706
4.711,5.549
5.536,5.904
3.588,4.194
3.46,4.271
5.496,5.775
5.611,6.392
5.012,4.766
5.364,4.64
5.293,4.983
6.261,6.563
7.004,4.49
4.385,4.187
5.892,6.134
4.099,7.45
3.974,4.851
3.778,4.964
5.615,5.785
5.214,6.453
5.872,4.202
4.331,6.17
5.922,4.338
5.349,7.303
4.527,5.072
5.23,5.425
4.888,4.591
4.965,4.796
6.127,5.897
5.442,6.866
5.968,6.344
6.04,6.322
4.596,5.274
3.662,5.74
3.898,6.019
2.886,4.833
4.391,4.859
5.316,3.536
6.105,5.229
3.93,4.811
6.934,5.563
4.086,4.041
5.379,6.12
5.678,4.804
5.568,6.34
4.307,4.556
5.668,6.106
3.464,4.915
3.699,5.872
5.33,5.989
5.822,6.402
5.03,7.986
5.112,4.529
6.479,5.51
4.228,4.113
4.771,6.402
4.799,4.621
6.381,5.77
6.206,6.716
5.346,5.279
5.448,6.173
4.643,5.808
5.475,6.267
5.999,6.332
4.777,5.265
4.785,6.371
4.15,4.77
5.335,4.558
5.833,5.315
7.148,5.629
5.694,5.154
5.731,4.852
