Sex,Salary
Male,139750
Male,173200
Male,115000
Male,141500
Male,175000
Male,147765
Male,119250
Female,129000
Male,104800
Male,117150
Male,101000
Male,103450
Male,124750
Female,137000
Male,89565
Male,102580
Male,93904
Male,113068
Male,106294
Male,134885
Male,118223
Male,132261
Male,117256
Male,155750
Male,125196
Male,146500
Male,101299
Male,231545
Male,94384
Male,114778
Male,98193
Female,151768
Female,140096
Male,126621
Male,108875
Male,106639
Male,117704
Male,109785
Male,101000
Male,99418
Female,111512
Male,91412
Male,126320
Male,146856
Male,100131
Male,92391
Male,113398
Male,150480
Male,193000
Male,150743
Male,135585
Male,144640
Female,122960
Male,132825
Male,152708
Male,172272
Male,166024
Male,123683
Male,129676
Male,102235
Male,106689
Male,133217
Male,126933
Male,153303
Female,127512
Male,113543
Male,131205
Male,112429
Male,104279
Female,105000
Male,120806
Male,148500
Male,117515
Male,115313
Male,124309
Male,97262
Male,96614
Male,78162
Male,155500
Male,113278
Male,76840
Male,168635
Male,136000
Male,108262
Male,105668
Male,152664
Male,106608
Male,112696
Male,119015
Male,156938
Female,144651
Male,128148
Male,111168
Male,118971
Male,137167
Male,176500
Male,105890
Male,167284
Male,130664
Male,181257
Male,151575
Male,93164
Male,134185
Male,111751
Male,147349
Male,142467
Male,141136
Male,150000
Male,101000
Male,134000
Male,107500
Male,153750
Male,180000
Male,133700
Male,122100
Male,189409
Male,114500
Male,119700
Male,160400
Male,152500
Male,165000
Male,96545
Male,162200
Male,120000
Male,163200
Male,111350
Male,128400
Male,126200
Male,145350
Male,146000
Male,119500
Male,170000
Male,145200
Male,129600
Male,87800
Male,122400
Male,88175
Male,133900
Female,91000
Male,148750
Female,117555
Male,81700
Male,114000
Male,77202
Male,96200
Male,122875
Male,102600
Male,108200
Male,84273
Female,90450
Male,91100
Male,101100
Male,128800
Male,204000
Male,109000
Male,102000
Male,132000
Female,116450
Male,140300
Male,92550
Male,107550
Male,121200
Male,126000
Male,99000
Male,134800
Male,143940
Male,104350
Male,89650
Male,103700
Male,143250
Male,194800
Male,93000
Male,107200
Male,163200
Male,107100
Male,100600
Male,136500
Male,103600
Male,57800
Male,155865
Male,115800
Male,150500
Male,174500
Male,168500
Male,183800
Male,107300
Male,97150
Male,126300
Male,148800
Male,72300
Male,88600
Male,127100
Male,170500
Male,105260
Male,144050
Male,111350
Male,122500
Male,166800
Male,92050
Male,108100
Male,94350
Male,100351
Male,146800
Male,67559
Male,134550
Male,135027
Male,104428
Female,161101
Male,162221
Male,124714
Male,151650
Male,134778
Male,192253
Male,116518
Female,105450
Male,145098
Male,151445
Male,98053
Male,145000
Male,128464
Male,137317
Male,106231
Female,124312
Male,114596
Male,162150
Male,150376
Male,107986
Male,142023
Male,128250
Male,144309
Male,186960
Male,93519
Male,142500
Male,138000
Male,145028
Male,88709
Male,107309
Female,109954
Male,121946
Female,109646
Male,138771
Male,205500
Male,101036
Male,115435
Male,131950
Male,134690
Male,110515
Male,109707
Male,136660
Male,103275
Male,103649
Male,150680
Male,172505
Male,105000
Male,125192
Male,114330
Male,139219
Male,109305
Male,119450
Male,186023
Male,166605
Male,151292
Male,103106
Male,150564
Male,101738
Male,95329
