variable	factor
-0.007	NKI_4
0.074	NKI_6
-0.767	NKI_7
-0.82	NKI_8
-0.18	NKI_9
-0.296	NKI_11
NA	NKI_12
-0.163	NKI_13
0.059	NKI_14
-0.035	NKI_17
-0.343	NKI_23
-1.213	NKI_24
-0.133	NKI_26
0.029	NKI_27
-0.669	NKI_28
0.103	NKI_29
0.268	NKI_30
-0.046	NKI_31
0.481	NKI_32
0.53	NKI_34
0.428	NKI_35
0.151	NKI_36
0.008	NKI_37
0.237	NKI_38
0.088	NKI_39
-0.107	NKI_40
0.405	NKI_41
-0.059	NKI_42
-0.712	NKI_43
-1.479	NKI_44
0.357	NKI_45
-1.256	NKI_48
0.204	NKI_51
0.04	NKI_56
-1.53	NKI_57
-0.082	NKI_58
0.126	NKI_59
-0.05	NKI_60
-0.077	NKI_61
-0.204	NKI_62
-0.52	NKI_69
0.236	NKI_70
-1.235	NKI_71
0.062	NKI_72
-0.635	NKI_73
-1.056	NKI_75
-1.063	NKI_76
0.757	NKI_78
0.105	NKI_79
-1.315	NKI_80
-1.222	NKI_83
-1.297	NKI_84
-1.397	NKI_85
-0.56	NKI_86
-1.126	NKI_88
-0.868	NKI_89
-1.108	NKI_90
-1.367	NKI_91
-1.167	NKI_92
-1.582	NKI_93
-0.152	NKI_94
-0.236	NKI_95
-1.624	NKI_96
-1.142	NKI_97
-1.481	NKI_98
-0.253	NKI_99
-1.294	NKI_100
-0.306	NKI_102
-1.462	NKI_103
-1.159	NKI_104
-1.437	NKI_106
0.139	NKI_107
0.063	NKI_108
-1.188	NKI_109
0.332	NKI_110
-0.389	NKI_111
-0.821	NKI_113
0.41	NKI_114
0.147	NKI_116
-0.136	NKI_117
0.115	NKI_118
-1.058	NKI_119
0.402	NKI_120
-0.414	NKI_122
0.195	NKI_123
0.596	NKI_124
0.501	NKI_125
-0.067	NKI_126
0.122	NKI_127
0.273	NKI_128
0.089	NKI_129
-1.006	NKI_130
-1.324	NKI_131
-0.203	NKI_132
-0.252	NKI_133
-0.162	NKI_134
-1.161	NKI_135
-0.662	NKI_136
0.099	NKI_137
-0.436	NKI_138
-0.048	NKI_139
0.035	NKI_140
-1.255	NKI_141
-0.387	NKI_142
-1.089	NKI_144
-0.165	NKI_145
0.008	NKI_146
-1.304	NKI_147
0.582	NKI_148
-0.886	NKI_149
-0.422	NKI_150
-0.268	NKI_151
-1.008	NKI_153
0.403	NKI_154
0.154	NKI_155
0.087	NKI_156
0.353	NKI_157
-1.189	NKI_158
0.007	NKI_159
0.011	NKI_160
-0.147	NKI_161
-0.112	NKI_162
0.344	NKI_163
-1.359	NKI_164
0.155	NKI_165
0.379	NKI_166
0.267	NKI_167
0.387	NKI_169
0.064	NKI_170
-0.116	NKI_172
-0.136	NKI_174
-1.512	NKI_175
-0.295	NKI_176
-0.909	NKI_177
0.023	NKI_178
-0.902	NKI_179
-0.271	NKI_180
-1.305	NKI_181
-0.067	NKI_182
0.439	NKI_183
-1.127	NKI_184
0.31	NKI_185
-1.116	NKI_186
-0.583	NKI_187
0.433	NKI_188
-0.648	NKI_189
0.189	NKI_190
0.257	NKI_191
0.42	NKI_192
0.08	NKI_193
-0.184	NKI_194
-1.158	NKI_195
0.082	NKI_196
-1.308	NKI_197
-0.301	NKI_198
-0.598	NKI_199
0.331	NKI_200
0.259	NKI_201
-0.966	NKI_202
0.191	NKI_203
0.209	NKI_205
0.473	NKI_207
-0.149	NKI_208
-0.052	NKI_209
-0.078	NKI_210
-1.099	NKI_212
-0.162	NKI_213
0.317	NKI_214
-1.359	NKI_215
-1.429	NKI_217
0.046	NKI_218
-0.647	NKI_219
0.271	NKI_220
-0.362	NKI_221
-1.149	NKI_222
-0.105	NKI_224
-1.325	NKI_226
0.022	NKI_227
-1.401	NKI_228
-0.341	NKI_229
-1.288	NKI_230
0.442	NKI_231
-0.438	NKI_233
0.043	NKI_235
-0.67	NKI_236
-0.891	NKI_237
-1.263	NKI_238
0.152	NKI_239
-0.071	NKI_240
-1.186	NKI_241
-0.043	NKI_243
0.006	NKI_245
-1.237	NKI_246
0.065	NKI_247
-1.051	NKI_248
-0.341	NKI_249
-0.043	NKI_250
-0.523	NKI_251
-0.019	NKI_252
-0.096	NKI_254
-0.464	NKI_256
-0.987	NKI_257
-0.425	NKI_258
-0.374	NKI_259
0.081	NKI_260
0.435	NKI_261
-0.171	NKI_263
-0.029	NKI_264
-1.296	NKI_265
-0.213	NKI_266
-0.31	NKI_267
-1.208	NKI_268
-1.386	NKI_269
-1.373	NKI_270
0.286	NKI_271
-0.041	NKI_272
0.338	NKI_273
0.335	NKI_274
0.263	NKI_275
-1.308	NKI_276
-0.146	NKI_277
-0.014	NKI_278
0.115	NKI_280
-0.106	NKI_281
0.275	NKI_282
0.197	NKI_283
0.051	NKI_284
0.519	NKI_285
-0.19	NKI_286
0.407	NKI_287
-0.59	NKI_288
0.386	NKI_290
-0.417	NKI_291
0.055	NKI_292
0.335	NKI_293
-0.256	NKI_294
-0.131	NKI_295
-0.401	NKI_296
-0.111	NKI_297
0.087	NKI_298
-0.185	NKI_300
0.031	NKI_301
0.58	NKI_302
-0.235	NKI_303
0.122	NKI_304
0.028	NKI_305
-0.09	NKI_306
-1.316	NKI_307
-0.581	NKI_308
0.161	NKI_309
-1.379	NKI_310
0.109	NKI_311
-0.046	NKI_312
-0.385	NKI_313
0.071	NKI_314
0.113	NKI_315
0.248	NKI_317
-0.006	NKI_318
-0.494	NKI_319
-0.229	NKI_320
-0.379	NKI_321
0.178	NKI_322
0.226	NKI_323
-1.048	NKI_324
-0.263	NKI_325
-1.177	NKI_326
0.034	NKI_327
0.362	NKI_328
0.062	NKI_329
-1.003	NKI_330
0.229	NKI_331
-1.466	NKI_332
-1.414	NKI_333
0.083	NKI_334
-1.129	NKI_335
-0.096	NKI_336
-0.099	NKI_337
-1.393	NKI_338
0.523	NKI_339
0.426	NKI_340
-1.031	NKI_341
0.175	NKI_342
0.213	NKI_343
-1.248	NKI_344
0.062	NKI_345
0.113	NKI_346
-0.511	NKI_347
0.375	NKI_348
0.43	NKI_349
-1.188	NKI_350
-0.221	NKI_351
-0.167	NKI_352
0.179	NKI_353
-0.085	NKI_354
-0.052	NKI_355
-0.048	NKI_356
0.339	NKI_357
0.226	NKI_358
-0.103	NKI_359
0.377	NKI_360
0.301	NKI_361
-0.579	NKI_362
0.352	NKI_363
-0.868	NKI_364
0.164	NKI_365
0.187	NKI_366
-0.517	NKI_367
-0.168	NKI_368
-1.334	NKI_369
0.429	NKI_370
-0.342	NKI_371
-0.343	NKI_373
0.232	NKI_374
-0.295	NKI_375
-1.209	NKI_377
-0.343	NKI_378
0.352	NKI_379
0.164	NKI_380
-0.038	NKI_381
-0.036	NKI_383
0.396	NKI_385
0.05	NKI_387
0.207	NKI_388
-0.294	NKI_389
0.223	NKI_390
0.123	NKI_391
-0.274	NKI_392
0.14	NKI_393
0.502	NKI_394
-0.084	NKI_395
-1.233	NKI_396
0.588	NKI_397
-0.921	NKI_398
0.42	NKI_401
-0.953	NKI_402
-0.332	NKI_403
0.142	NKI_404
